129000,3521400,3335800,2909800,2915500,3335700,2854800,2887900,2859300,2918900,2867500,2847300,2855500,2960200,3261600,2900600,2860400,2869200,2856600,2902300,2889100,2980470.000000
133000,3702900,3588800,3006600,3079800,2961000,2969300,2974500,2988100,3634200,3602800,3006600,2958300,2943500,3051800,2980200,2955800,3043600,3648700,3633700,3452700,3209145.000000
137000,3787900,3630600,3166800,3569100,3678900,3701900,3101300,3129800,3086300,3096000,3055800,3076200,3847700,3589400,3088600,3098700,3084400,3057400,3075700,3184900,3305370.000000
141000,3924100,3827700,3344400,3270300,3666500,3764300,3945300,3275200,3204600,3143100,3152900,3228000,3171000,3612300,3736000,3707900,3180000,3192500,3162900,3141000,3432500.000000
145000,3981000,3937400,3336000,3230500,3345900,3803200,3298900,3266100,3265400,3243500,3284700,3239200,3228100,3341100,4112900,3824800,3233500,3230400,3223500,3341900,3438400.000000
149000,4113900,3833800,3343200,3497900,3319600,3317700,3303400,3346500,3525100,3789200,3902600,3883100,3423600,3332000,3316200,3340600,3360400,3856500,4028500,3816800,3582530.000000
153000,4264300,3851000,3434900,4069600,3983000,3432800,3495200,3435100,3477300,3403400,3425700,3472700,4156400,4194800,3528900,3478800,3429900,3489000,3439600,3408400,3643540.000000
157000,4381000,4109100,3655500,3593000,3600000,3593300,3657200,3966400,4145400,4089100,3595200,3583300,3646200,3648800,3662500,3750000,4220100,4145100,3660500,3649500,3817560.000000
161000,4683800,4092800,4402300,3915500,3840000,3822900,3782600,3806100,3834800,3771900,3732200,4210100,3872100,3855200,3863000,3861100,3832700,3817300,3887100,3774600,3932905.000000
165000,4627600,4411300,3973700,3930600,4041700,4237400,4405900,4292300,4021900,3978800,4096700,4036200,4135500,3937600,4276000,3973100,4009200,3987700,3988600,3951900,4115685.000000
169000,4782600,4639100,4200800,4085400,4082400,4395100,4088900,4020300,4017500,4061400,4078300,4077300,4022600,4317400,4436300,4591300,4071900,4077200,4041400,4047300,4206725.000000
173000,4988600,4404100,4099400,4290700,4494200,4554100,4521400,4279300,4182200,4101600,4208300,4093300,4128200,4422200,4443200,4147900,4130900,4293000,4245500,4239100,4313360.000000
177000,4661600,4676500,4277800,4343500,4459400,4508900,4866000,4251700,4205900,4274900,4340500,4191600,4348100,4502200,4514900,4578300,4309900,4345300,4264700,4304200,4411295.000000
181000,5080600,4919700,4530900,4418500,4518200,4587500,4807200,4719400,4752600,4765300,4553400,4430800,4589500,4457600,4555000,4483800,4597900,4788200,4578700,4517700,4632625.000000
185000,5334800,4756600,4431700,4395100,4514800,4601100,4702000,5145000,4897700,5467200,4588500,4500700,4485100,4564000,4454200,4394900,4419400,4464300,4453700,4375900,4647335.000000
189000,6127900,4639200,4668200,4532600,4656600,4774100,4833000,4840500,4636800,4615700,4618400,4674200,4643000,4660900,4588500,4866200,4642500,4546900,4641600,4695300,4745105.000000
193000,5529100,5252900,4667400,4937500,4894200,4682600,4716100,4662400,4701600,4998400,4777200,4882400,4868200,4669600,4624700,4582600,4677400,4649100,4916000,4913600,4830150.000000
197000,5319500,4960500,4690700,4759400,5027700,4966800,4748100,4902000,4744000,4702200,4760700,4718800,4790100,4883500,4928700,4994100,4784400,4741700,4759000,4820900,4850140.000000
201000,5524300,5252700,4779700,5069200,5190900,5171000,4761800,4822000,4812900,4766600,4822100,4823300,5060300,5221900,4995400,4886600,4865000,4818700,4800100,4867600,4965605.000000
205000,5953900,5449400,5323800,5432500,4939400,5297900,5428500,4949200,4904700,5032100,4984000,5098600,5179600,5237600,4873500,4894600,4899700,4897000,4886400,4954700,5130855.000000
209000,5474500,4934800,5008700,5064600,5043100,5035200,5377100,4960200,4993900,4961700,4963500,4927100,5109000,5091900,5336000,5287500,4674200,4679600,4697600,4650700,5013545.000000
213000,6066500,5139900,4993700,4841400,5331500,5439300,4753400,4755200,4736300,4771300,4759100,4776200,4764700,4792800,4751800,4737400,4745500,4761100,4762600,4812800,4924625.000000
217000,6177000,5254600,5690100,5016300,5037600,4992300,4976100,5000400,4932900,5064000,5695000,5565000,5025500,5014400,4957900,4853000,4927800,4957800,5764600,5766600,5233445.000000
221000,5428900,5099300,5723700,5613900,5090200,4952600,4903300,4941900,4976500,4907100,4923000,5598200,5013500,4940400,5035300,5157200,4929500,4980000,5006500,5731900,5147645.000000
225000,5852200,5040400,5104100,5836600,5957900,5067200,5087700,4975400,5026200,5076100,5110800,5853600,5715700,5060000,5062300,5028100,4992200,5032200,5160800,5755500,5289750.000000
229000,6086600,5148500,5136500,5117600,5227600,5859000,5746800,5288100,5160600,5143700,5135800,5133000,5206700,5873200,5740000,5178100,5147100,5132000,5144100,5102600,5335380.000000
233000,6144500,5252000,5287700,5189900,5197200,5181200,5739700,5263700,5295700,5198900,6177800,7085500,5569300,5375500,5745700,5248100,5355900,5188200,5234500,5211200,5497110.000000
237000,6055300,5893100,5800100,5371500,5401000,5404700,5296600,5297400,5281000,5291100,5938200,5280200,5261400,5274000,5265600,5324200,5298300,5256400,5925200,5353500,5463440.000000
241000,6208900,5561100,5551100,6058700,6066800,5457500,5412300,5419300,5390300,5431100,5468800,6253400,6147000,5466600,5439100,5448800,5365900,5364900,5519600,5974500,5650285.000000
245000,6434700,5557600,5460500,5562400,5500700,6178900,5482800,5453700,5474900,5481700,5515500,5520100,6019000,6005700,5483700,5466000,5470100,5503400,5441600,5419500,5621625.000000
249000,6382300,5685600,5808000,5517200,5536400,5645400,5577700,5705200,6537400,6211600,5633600,5547600,5516600,5635800,5522000,5553000,6251300,5570300,6163700,5566900,5778380.000000
253000,6576700,5917100,5734300,5834800,6366700,6458600,5811200,5666000,5659600,5653400,5595900,5861600,6310500,6340500,5672000,5632400,5667200,5649700,5660900,5763600,5891635.000000
257000,6183000,5830600,5698000,5790100,5766000,5732200,5766900,5928500,6548500,6581200,6093400,5764900,5962600,5764200,6563000,5890900,5845100,5927300,5878600,5876200,5969560.000000
261000,6371200,5781500,6068000,5794700,5899900,6124100,5947700,6536500,5852400,5837900,6032000,5815700,5851900,5799600,5809500,5819500,5783400,5824900,5798100,5778000,5926325.000000
265000,6480000,6087200,6838400,6203700,6574900,6828300,6199400,6182900,6061700,6097600,6086200,6100900,6073300,6150400,6268100,6123100,6052200,6105000,6168100,6274200,6247780.000000
269000,7323500,6395600,6286100,6293500,6258000,6298400,6310000,6312600,6347200,6294300,6290800,6297700,6372700,6433600,6927100,6227600,6215900,6160800,6212700,6164000,6371105.000000
273000,7351400,6426900,6685200,6328100,6334400,6566600,6350500,6300500,6282300,6382400,6446900,6282400,6327000,6301400,6228000,6252700,6319400,6300400,6285300,6295100,6402345.000000
277000,7324800,7144000,6478200,6337900,6411000,6345800,6393700,6433900,6408700,6383900,6362200,6333500,6348200,6357800,6560600,6435600,6390900,7232500,6483700,7581500,6587420.000000
281000,6857900,6452800,6401700,6490500,6415200,6463800,6440700,6506500,6576500,6387400,6488000,6574200,7268300,6571200,6446200,6445100,6435700,6462000,6447800,6472400,6530195.000000
285000,7381500,6602700,6530500,6547100,6624800,7352900,6569200,6528500,6619400,6523600,6530100,6559700,6480400,6495700,6497000,6513300,6505300,6536700,6517400,6603800,6625980.000000
289000,7749700,6736800,6603300,6711500,6580100,6671300,6591000,6613400,6678400,6632000,6615000,6546100,6615800,6613800,6775500,7388700,6658900,6709000,6568200,6647600,6735305.000000
293000,7033000,6683100,6955300,7465000,6823200,6707800,6736300,6764000,6702200,6775100,6703500,6710900,6687200,6813500,6934100,6724400,6714500,6746900,7620000,6746600,6852330.000000
297000,7275600,6914200,6822300,6781000,8064300,7009900,6750600,7532900,6801800,6801900,6757800,6804100,6784500,6803300,6740900,6722200,6866000,6744800,6840500,6744900,6928175.000000
301000,7830500,6934900,7008500,6961400,6975100,6922700,6937400,6885800,6918700,7046800,7527900,6990500,6840300,6895200,6815800,6803600,6798300,6819000,6843700,6878800,6981745.000000
305000,7448700,7058300,7019600,7076100,7112100,6909500,7040700,6929000,7058300,6936000,6939000,6933700,7131500,7681700,7039400,6935200,6905600,7043200,7078700,7083600,7067995.000000
309000,8191300,7326700,7214000,7486500,8333400,7314300,7295600,7054400,7183500,7024400,7069500,7121500,7062700,7122200,7072000,7121200,7044500,7087200,7201300,7937600,7313190.000000
313000,7952000,7369000,7160400,7139800,7115500,7179400,7132000,7193700,7302400,7167300,7992700,7664600,8185600,7479100,7266800,7350400,7281700,7338600,7280500,7349500,7395050.000000
317000,7802500,7238400,7241800,7341800,7911400,7246000,7203600,7300300,7217000,7245800,7367300,7270100,7228300,7245300,7262100,7196700,7229300,7231600,7427200,7876300,7354140.000000
321000,7648000,7427400,7291600,7347000,7323700,7315900,7400700,7325400,7335100,7310300,7529400,8050800,7378400,7318900,7321900,7311400,7344000,7349100,7290200,7304200,7396170.000000
325000,8215100,7443100,7400900,8029400,7394200,7437400,7416200,7460000,7428500,7445300,7389500,7429000,7421400,7353900,7563900,7372700,7656400,8178100,7533600,7398100,7548335.000000
329000,8220600,7482700,7451900,7578200,7590900,7560600,7461900,7728300,7531700,8249500,7621800,8607400,7538700,7528900,7649000,7567300,7518900,7487100,7506100,7500000,7669075.000000
333000,7850800,7642600,7522200,7604300,7502900,7567300,7547400,7632900,7553700,7586100,7516300,7733000,7532400,7617800,7569000,7870400,8237600,7619500,7521500,7611700,7641970.000000
337000,7938000,7666400,7694600,7645200,7702400,7644000,7692000,7773800,8380200,7616400,7677200,7670400,7689000,7615700,7639400,7693000,7954500,7710300,7651200,7608000,7733085.000000
341000,8507100,7827200,7744300,7813200,7989400,7761400,7619500,7906400,7903600,7959100,7988700,7982400,7999900,8139700,8588900,7945500,8000900,7895800,7824000,7837100,7961705.000000
